Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 13550254 13550254 1] 300647307
[1 8803075 8803075 1] 300958558
[1 17734714 17734714 1] 302189102
[1 15138378 15138378 1] 303146427
[1 24415776 24415776 1] 305096884
[1 12032920 12032920 1] 305748916
[1 9806733 9806733 1] 306165665
[1 16011018 16011018 1] 307219854
[1 24760236 24760236 1] 309159515
[1 7745692 7745692 1] 309359301
[1 22423944 22423944 1] 311087993
[1 4666329 4666329 1] 310970269
[1 20449292 20449292 1] 312489565
[1 6894019 6894019 1] 312602534
[1 11836837 11836837 1] 313222808
[1 2575056 2575056 1] 312892438
[1 2963859 2963859 1] 312596951
[1 8714905 8714905 1] 312890645
[1 20372662 20372662 1] 314422682
[1 3689686 3689686 1] 314204412
[1 10613074 10613074 1] 314708571
[1 5756852 5756852 1] 314702746
[1 26349251 26349251 1] 316869103
[1 12336504 12336504 1] 317543387
[1 29639007 29639007 1] 320057405
[1 5414640 5414640 1] 320024867
[1 7721121 7721121 1] 320233861
[1 24880227 24880227 1] 322227285
[1 10387678 10387678 1] 322706606
[1 27963982 27963982 1] 325004759
[1 14887561 14887561 1] 325942849
[1 127956 127956 1] 325355664
[1 24433519 24433519 1] 327272762
[1 21066343 21066343 1] 328852529
[1 10245197 10245197 1] 329314674
[1 24627322 24627322 1] 331285722
[1 22994985 22994985 1] 333046553
[1 23794428 23794428 1] 335019842
[1 22152041 22152041 1] 336756303
[1 22970073 22970073 1] 338532447
[1 21245831 21245831 1] 340121522
[1 26370348 26370348 1] 342307877
[1 20982031 20982031 1] 343878882
[1 9653715 9653715 1] 344276045
[1 18057523 18057523 1] 345540746
[1 18626925 18626925 1] 346874543
[1 3189436 3189436 1] 346604546
[1 15829205 15829205 1] 347647070
[1 22630444 22630444 1] 349404694
[1 24945487 24945487 1] 351367822
[1 26684279 26684279 1] 353523983
[1 6250263 6250263 1] 353569980
[1 14989684 14989684 1] 354516227
[1 21539849 21539849 1] 356141033
[1 1208325 1208325 1] 355665043
[1 11449123 11449123 1] 356239440
[1 7927336 7927336 1] 356462339
[1 3937458 3937458 1] 356268214
[1 24102748 24102748 1] 358175400
[1 25311777 25311777 1] 360207592
[1 3725219 3725219 1] 359993199
[1 27621704 27621704 1] 362254166
[1 15209934 15209934 1] 363212774
[1 17053960 17053960 1] 364371441
[1 2862807 2862807 1] 364063209
[1 5748721 5748721 1] 364048526
[1 9121309 9121309 1] 364380085
[1 1742699 1742699 1] 363957059
[1 7076377 7076377 1] 364091074
[1 1252716 1252716 1] 363631107
[1 2825172 2825172 1] 363332491
[1 25771560 25771560 1] 365387839
[1 15554011 15554011 1] 366389104
