#input
#!/bin/sh
#
# This is the configuration of the final run.
# The seed value will be a non-zero value that will not be disclosed.
##
#
#
#SERVER=localhost
#PORT=9000
#SEED=5041
#TOTAL=500
#START=0
#DIFFICULTY=30000000
#REP_PROB_PERCENT=20
#DELAY_US=600000
#PRIO_LAMBDA=1.5
#
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#


**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 4412122026428717922 4412122026428717922 1] 104703766
[1 3236934473919397422 3236934473919397422 1] 105518992
[1 647491046073748595 647491046073748595 1] 105320980
[1 4219873354455086148 4219873354455086148 4] 106280093
[1 130094826246450141 130094826246450141 1] 106416181
[1 2331347999351084026 2331347999351084026 1] 106134111
[1 3659813617944922327 3659813617944922327 2] 106501985
[1 2491827283880295168 2491827283880295168 2] 108019896
[1 5063561934843515109 5063561934843515109 1] 108400396
[1 4377884285487400780 4377884285487400780 1] 107850598
[1 9111468288398707982 9111468288398707982 1] 108238888
[1 550672249647483098 550672249647483098 1] 108595569
[1 6513783888078605502 6513783888078605502 1] 109456124
[1 8746113330728608796 8746113330728608796 3] 109567907
[1 2861478466821191741 2861478466821191741 1] 109311997
[1 3558554399823816184 3558554399823816184 1] 109799912
[1 6274825479430247148 6274825479430247148 1] 111097693
[1 9194213822884330834 9194213822884330834 1] 110651751
[1 185118575590103668 185118575590103668 1] 111728394
[1 4122695951619468847 4122695951619468847 2] 112690346
[1 8596722216914397364 8596722216914397364 1] 114031493
[1 4073211198583022180 4073211198583022180 1] 113562937
[1 9194213822884330834 9194213822884330834 1] 113116506
[1 5199371706524493251 5199371706524493251 2] 112929977
[1 7856897504463192900 7856897504463192900 1] 112875155
[1 5416000030182068785 5416000030182068785 2] 113360586
[1 1242004612079023671 1242004612079023671 1] 113679241
[1 4827324001856983987 4827324001856983987 1] 114116622
[1 2491827283880295168 2491827283880295168 1] 115629455
[1 4774416163461359252 4774416163461359252 3] 116285880
[1 914343859512707012 914343859512707012 1] 116845260
[1 3271508910756835865 3271508910756835865 1] 116931329
[1 3345713678998118409 3345713678998118409 1] 118651144
[1 1840298256139815746 1840298256139815746 1] 120388680
[1 6397345207882921962 6397345207882921962 2] 121470979
[1 9107500590212004521 9107500590212004521 2] 121774098
[1 6468866080072798106 6468866080072798106 1] 122828059
[1 7044189533465539850 7044189533465539850 1] 122980203
[1 6357559164249722615 6357559164249722615 4] 124193507
[1 6508099035400486672 6508099035400486672 1] 125325986
[1 6170402025844769799 6170402025844769799 1] 124796690
[1 2454684895762362559 2454684895762362559 1] 124996132
[1 7499126390569328487 7499126390569328487 1] 126041541
[1 2454684895762362559 2454684895762362559 1] 126244875
[1 4562440946473198944 4562440946473198944 3] 126968094
[1 6969888700525189384 6969888700525189384 1] 127912305
[1 2090043877226103601 2090043877226103601 2] 128656237
[1 1186413747289502661 1186413747289502661 2] 129638459
[1 319895222190797266 319895222190797266 1] 130164914
[1 776057151823164264 776057151823164264 1] 130049481
[1 4238713034810074028 4238713034810074028 1] 131111922
[1 472640305114548655 472640305114548655 1] 132378367
[1 3271508910756835865 3271508910756835865 2] 132463698
[1 9054274455774325283 9054274455774325283 2] 132411828
[1 5460306810368422338 5460306810368422338 1] 133510491
[1 415004406609487801 415004406609487801 1] 132926828
[1 8123840614758380338 8123840614758380338 3] 132533926
[1 5724685807532549095 5724685807532549095 1] 133680743
[1 5945104872396650355 5945104872396650355 1] 134037534
[1 8863376680030915354 8863376680030915354 1] 133894564
[1 1890874750208477764 1890874750208477764 1] 135389456
[1 7613436918011352707 7613436918011352707 1] 135772345
[1 6423217256339162762 6423217256339162762 1] 136752384
[1 835059540630012492 835059540630012492 1] 137875217
[1 5885709345812136768 5885709345812136768 1] 138488540
[1 8456951483809752933 8456951483809752933 1] 139744122
[1 1929108437739011046 1929108437739011046 1] 140173430
[1 962644554631157417 962644554631157417 1] 141765242
[1 5416000030182068785 5416000030182068785 1] 142239891
[1 6041612706119483417 6041612706119483417 1] 142830916
[1 1657028723439299735 1657028723439299735 2] 144377578
[1 2538156644782290352 2538156644782290352 2] 145937053
[1 8454751433989030941 8454751433989030941 1] 146200541
[1 7466460471292109233 7466460471292109233 1] 147616388
[1 3582342302972989278 3582342302972989278 1] 147983959
[1 3829641242182598913 3829641242182598913 1] 147711097
[1 6190378323326485826 6190378323326485826 1] 147199809
[1 4956135701449413191 4956135701449413191 1] 146970223
[1 579383808298780685 579383808298780685 1] 146539610
[1 1176482845217077127 1176482845217077127 1] 147879721
[1 6702312599032352784 6702312599032352784 2] 149267847
[1 2059014550261616441 2059014550261616441 1] 149426072
[1 222493149465179000 222493149465179000 2] 150337627
[1 2046472722026058361 2046472722026058361 1] 150389373
[1 8639103653568590745 8639103653568590745 2] 150801207
[1 2681509236213133930 2681509236213133930 2] 152276287
[1 2681509236213133930 2681509236213133930 1] 153754608
[1 4841662169877694660 4841662169877694660 1] 155500334
[1 1994482117221562610 1994482117221562610 2] 156912164
[1 6872419454369207885 6872419454369207885 1] 158027363
[1 2704694954785049502 2704694954785049502 1] 159463996
[1 8630513118107105493 8630513118107105493 1] 160609989
[1 8223556651405343222 8223556651405343222 1] 160450803
[1 497283696040899058 497283696040899058 1] 161717626
[1 1790591590042843761 1790591590042843761 1] 162084589
[1 4073211198583022180 4073211198583022180 1] 161617058
[1 8123840614758380338 8123840614758380338 1] 161226266
[1 7490339278880190554 7490339278880190554 2] 160983024
[1 2550598396595818528 2550598396595818528 1] 161056117
[1 5199371706524493251 5199371706524493251 1] 160869537
[1 5071069789944271384 5071069789944271384 1] 160875617
[1 131118527416406417 131118527416406417 1] 161972203
[1 3964450872751765311 3964450872751765311 5] 162019089
[1 2838580124468335443 2838580124468335443 1] 161464796
[1 7881522691004017370 7881522691004017370 1] 162762600
[1 7316668006565156651 7316668006565156651 3] 163054492
[1 3460887766722519736 3460887766722519736 1] 164588208
[1 8178167647254100655 8178167647254100655 1] 165254146
[1 4194064741151001970 4194064741151001970 1] 165381443
[1 5199371706524493251 5199371706524493251 2] 165195126
[1 2337016797151025370 2337016797151025370 1] 166741634
[1 9194213822884330834 9194213822884330834 1] 166298718
[1 960478310206579209 960478310206579209 1] 166135459
[1 7979646042163024205 7979646042163024205 1] 165823645
[1 1858959575435454377 1858959575435454377 2] 167132726
[1 1217566094413633721 1217566094413633721 1] 166642522
[1 5199641547698550621 5199641547698550621 1] 167873066
[1 6957926362045696369 6957926362045696369 1] 167310754
[1 2319188756839704936 2319188756839704936 1] 167919391
[1 1572355345597119708 1572355345597119708 1] 167753684
[1 8875211216651956425 8875211216651956425 2] 168466767
[1 4559156434454441098 4559156434454441098 1] 169833298
[1 8821009146333822433 8821009146333822433 1] 171355725
[1 1309962873612645872 1309962873612645872 3] 171659126
[1 4898117658189580031 4898117658189580031 1] 171443071
[1 4086763913301779518 4086763913301779518 2] 171424528
[1 130094826246450141 130094826246450141 1] 171560215
[1 8344753198079708132 8344753198079708132 1] 172771890
[1 6700757519863913125 6700757519863913125 2] 174360217
[1 7523316024404873548 7523316024404873548 1] 174681332
[1 8457181607094899287 8457181607094899287 1] 174736381
[1 2247469374958062075 2247469374958062075 1] 174235122
[1 3113311429710773546 3113311429710773546 1] 175083960
[1 4073211198583022180 4073211198583022180 3] 174615925
[1 2509139897261588936 2509139897261588936 1] 175975240
[1 2090043877226103601 2090043877226103601 1] 176724765
[1 5609386143928750169 5609386143928750169 1] 176549014
[1 3513591833870429566 3513591833870429566 1] 176052184
[1 794543592873094726 794543592873094726 1] 176335050
[1 579383808298780685 579383808298780685 2] 175903822
[1 8380641326145083184 8380641326145083184 1] 175554669
[1 3964450872751765311 3964450872751765311 1] 175601026
[1 6679105948721570805 6679105948721570805 1] 175271159
[1 789678821803831634 789678821803831634 1] 175172913
[1 3152667199902966591 3152667199902966591 1] 174573947
[1 5428676046622452730 5428676046622452730 1] 175368808
[1 4755877962832181671 4755877962832181671 2] 175290507
[1 1652415761709635407 1652415761709635407 1] 176155201
[1 3452460185093754177 3452460185093754177 1] 176146841
[1 3523119062920112816 3523119062920112816 3] 176359798
[1 8071399829518041455 8071399829518041455 1] 176997841
[1 6312818450892701566 6312818450892701566 2] 176743941
[1 5885251080520357233 5885251080520357233 1] 176940696
[1 2928647503566692007 2928647503566692007 1] 177408608
[1 4365291373867262605 4365291373867262605 2] 178540365
[1 6324117110787121994 6324117110787121994 1] 179994764
[1 555990338574654921 555990338574654921 1] 181051822
[1 4982225158532910574 4982225158532910574 1] 181427615
[1 8382273392383741760 8382273392383741760 2] 182286770
