Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 12655341 12655341 1] 167202026
[1 10000570 10000570 1] 167515959
[1 1174233 1174233 1] 167022839
[1 10956043 10956043 1] 167431245
[1 20409118 20409118 1] 168696613
[1 16266762 16266762 1] 169585715
[1 5526310 5526310 1] 169489671
[1 22495426 22495426 1] 170949784
[1 9806368 9806368 1] 171244107
[1 24504235 24504235 1] 172862494
[1 16631627 16631627 1] 173763617
[1 7226058 7226058 1] 173821931
[1 16673169 16673169 1] 174741227
[1 7390359 7390359 1] 174810757
[1 6947387 6947387 1] 174839922
[1 24429690 24429690 1] 176462150
[1 10634995 10634995 1] 176830566
[1 27056553 27056553 1] 178675897
[1 7893530 7893530 1] 178795971
[1 28532291 28532291 1] 180817126
[1 27756971 27756971 1] 182737025
[1 16819081 16819081 1] 183658767
[1 24218594 24218594 1] 185251408
[1 6418628 6418628 1] 185231168
[1 18561887 18561887 1] 186302746
[1 10788356 10788356 1] 186683402
[1 2720091 2720091 1] 186323557
[1 26059480 26059480 1] 188096927
[1 1858970 1858970 1] 187666045
[1 14152275 14152275 1] 188353474
[1 16047642 16047642 1] 189207675
[1 10925434 10925434 1] 189594093
[1 17077889 17077889 1] 190537898
[1 3524567 3524567 1] 190256592
[1 11027285 11027285 1] 190653839
[1 5790418 5790418 1] 190578036
[1 29372261 29372261 1] 192640802
[1 7100238 7100238 1] 192677097
[1 9473060 9473060 1] 192935824
[1 22648519 22648519 1] 194376899
[1 21990784 21990784 1] 195766316
[1 3228459 3228459 1] 195457555
[1 3967638 3967638 1] 195214238
[1 26620484 26620484 1] 197024122
[1 27770479 27770479 1] 198951488
[1 27149315 27149315 1] 200806737
[1 12645730 12645730 1] 201350070
[1 23665124 23665124 1] 202889766
[1 11089439 11089439 1] 203289118
[1 7211389 7211389 1] 203344015
[1 23631234 23631234 1] 204867784
[1 25933682 25933682 1] 206590798
[1 13160359 13160359 1] 207208975
[1 29110700 29110700 1] 209229521
[1 24101840 24101840 1] 210782480
[1 20668364 20668364 1] 212033927
[1 20228795 20228795 1] 213249854
[1 23319848 23319848 1] 214743705
[1 18217463 18217463 1] 215782552
[1 12539391 12539391 1] 216321331
[1 25745792 25745792 1] 218045791
[1 7355116 7355116 1] 218103229
[1 12796158 12796158 1] 218653018
[1 20631492 20631492 1] 219893971
[1 4462952 4462952 1] 219692012
[1 11035022 11035022 1] 220077573
[1 18393741 18393741 1] 221126243
[1 3614031 3614031 1] 220849490
[1 5035326 5035326 1] 220702255
[1 24187517 24187517 1] 222396504
[1 2033003 2033003 1] 222015315
[1 27746140 27746140 1] 223991540
[1 3785405 3785405 1] 223728745
[1 28974581 28974581 1] 225724485
[1 6039022 6039022 1] 225663614
[1 15539863 15539863 1] 226456382
[1 16235380 16235380 1] 227310800
[1 22692686 22692686 1] 228751877
[1 18299905 18299905 1] 229791932
[1 5433484 5433484 1] 229682139
[1 6199760 6199760 1] 229633683
[1 15889745 15889745 1] 230455119
[1 18469912 18469912 1] 231510665
[1 8663951 8663951 1] 231691235
[1 29777561 29777561 1] 233765616
[1 17675106 17675106 1] 234753417
[1 12740050 12740050 1] 235287537
[1 6588712 6588712 1] 235274049
[1 1519935 1519935 1] 234808098
[1 16077376 16077376 1] 235626170
[1 29593615 29593615 1] 237652671
[1 9343769 9343769 1] 237880030
[1 19544919 19544919 1] 239029392
[1 27376883 27376883 1] 240860116
[1 27876983 27876983 1] 242721734
[1 13124031 13124031 1] 243280446
[1 14311575 14311575 1] 243945225
[1 11186594 11186594 1] 244344247
[1 13550254 13550254 1] 244950684
[1 8803075 8803075 1] 245131598
[1 17734714 17734714 1] 246104197
[1 15138378 15138378 1] 246855430
[1 24415776 24415776 1] 248437984
[1 12032920 12032920 1] 248904989
[1 9806733 9806733 1] 249176923
[1 16011018 16011018 1] 250026256
[1 24760236 24760236 1] 251622938
[1 7745692 7745692 1] 251712266
[1 22423944 22423944 1] 253122862
[1 4666329 4666329 1] 252940629
[1 20449292 20449292 1] 254182646
[1 6894019 6894019 1] 254202955
[1 11836837 11836837 1] 254672826
[1 2575056 2575056 1] 254319432
[1 2963859 2963859 1] 253991193
[1 8714905 8714905 1] 254181285
[1 20372662 20372662 1] 255402952
[1 3689686 3689686 1] 255153844
[1 10613074 10613074 1] 255539064
[1 5756852 5756852 1] 255455279
[1 26349251 26349251 1] 257205853
[1 12336504 12336504 1] 257742804
[1 29639007 29639007 1] 259801826
[1 5414640 5414640 1] 259681687
[1 7721121 7721121 1] 259771011
[1 24880227 24880227 1] 261376656
[1 10387678 10387678 1] 261703523
[1 27963982 27963982 1] 263597348
[1 14887561 14887561 1] 264321203
[1 127956 127956 1] 263732218
[1 24433519 24433519 1] 265327519
[1 21066343 21066343 1] 266620895
[1 10245197 10245197 1] 266936254
[1 24627322 24627322 1] 268526866
[1 22994985 22994985 1] 269971508
[1 23794428 23794428 1] 271510398
[1 22152041 22152041 1] 272890865
[1 22970073 22970073 1] 274343479
[1 21245831 21245831 1] 275678395
[1 26370348 26370348 1] 277439854
[1 20982031 20982031 1] 278714141
[1 9653715 9653715 1] 278969714
[1 18057523 18057523 1] 279963352
[1 18626925 18626925 1] 281028343
[1 3189436 3189436 1] 280709497
[1 15829205 15829205 1] 281514710
[1 22630444 22630444 1] 282910285
[1 24945487 24945487 1] 284544106
[1 26684279 26684279 1] 286330207
[1 6250263 6250263 1] 286287453
[1 14989684 14989684 1] 287020861
[1 21539849 21539849 1] 288359286
[1 1208325 1208325 1] 287867715
[1 11449123 11449123 1] 288292505
[1 7927336 7927336 1] 288398519
[1 3937458 3937458 1] 288147177
[1 24102748 24102748 1] 289694440
[1 25311777 25311777 1] 291331145
[1 3725219 3725219 1] 291059795
[1 27621704 27621704 1] 292904696
[1 15209934 15209934 1] 293650292
[1 17053960 17053960 1] 294568989
[1 2862807 2862807 1] 294222771
[1 5748721 5748721 1] 294137900
[1 9121309 9121309 1] 294352233
[1 1742699 1742699 1] 293909383
[1 7076377 7076377 1] 293935553
[1 1252716 1252716 1] 293449257
[1 2825172 2825172 1] 293105743
[1 25771560 25771560 1] 294804268
[1 15554011 15554011 1] 295601627
[1 22178225 22178225 1] 296993346
[1 25816540 25816540 1] 298710328
[1 24429690 24429690 1] 300314095
[1 13945054 13945054 1] 300969140
[1 1489115 1489115 1] 300501934
[1 15405990 15405990 1] 301290394
[1 2028068 2028068 1] 300872975
[1 25575224 25575224 1] 302556010
[1 332232 332232 1] 301985296
[1 2292123 2292123 1] 301590671
[1 11323876 11323876 1] 301997423
[1 20390180 20390180 1] 303226502
[1 25202255 25202255 1] 304882772
[1 20311132 20311132 1] 306106478
[1 3967858 3967858 1] 305859566
[1 3199182 3199182 1] 305550277
[1 10554604 10554604 1] 305899477
[1 26152434 26152434 1] 307648088
[1 23590182 23590182 1] 309164459
[1 29359416 29359416 1] 311214900
[1 21768826 21768826 1] 312563276
[1 26138723 26138723 1] 314310053
[1 15550552 15550552 1] 315107267
[1 14090033 14090033 1] 315788528
[1 21443182 21443182 1] 317104997
[1 12990416 12990416 1] 317657261
[1 3299709 3299709 1] 317349182
[1 27860000 27860000 1] 319223001
[1 9112298 9112298 1] 319433001
[1 19475777 19475777 1] 320577285
[1 19068978 19068978 1] 321685455
[1 21742588 21742588 1] 323038347
[1 16723383 16723383 1] 323943339
[1 9544267 9544267 1] 324188242
[1 10508861 10508861 1] 324513084
[1 17909212 17909212 1] 325501665
[1 23669087 23669087 1] 327015115
[1 8590931 8590931 1] 327182987
[1 794584 794584 1] 326653048
[1 2651477 2651477 1] 326291138
[1 4095821 4095821 1] 326053054
[1 20037526 20037526 1] 327246721
[1 1538840 1538840 1] 326782532
[1 5897491 5897491 1] 326706452
[1 1101361 1101361 1] 326205106
[1 6247644 6247644 1] 326166064
[1 13080929 13080929 1] 326730679
[1 14826622 14826622 1] 327466171
[1 10917956 10917956 1] 327849135
[1 22634226 22634226 1] 329277322
[1 3274571 3274571 1] 328969509
[1 6220854 6220854 1] 328925806
[1 7107723 7107723 1] 328965324
[1 13712351 13712351 1] 329610891
[1 20009098 20009098 1] 330824325
[1 7689127 7689127 1] 330915841
[1 14522072 14522072 1] 331624245
[1 26533150 26533150 1] 333414673
[1 28140529 28140529 1] 335360229
[1 9228399 9228399 1] 335588412
[1 22836611 22836611 1] 337060110
[1 1928578 1928578 1] 336636219
[1 8498977 8498977 1] 336808555
[1 754553 754553 1] 336277033
[1 11126088 11126088 1] 336681206
[1 23360100 23360100 1] 338217601
[1 16448567 16448567 1] 339126843
