Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 465 465 1] 251
[1 508 508 1] 239
[1 805 805 1] 276
[1 612 612 1] 1351
[1 829 829 1] 289
[1 344 344 1] 230
[1 569 569 1] 251
[1 423 423 1] 207
[1 811 811 1] 272
[1 802 802 1] 304
[1 731 731 1] 1775
[1 306 306 1] 233
[1 737 737 1] 253
[1 627 627 1] 265
[1 466 466 1] 868
[1 417 417 1] 207
[1 259 259 1] 202
[1 638 638 1] 901
[1 625 625 1] 307
[1 920 920 1] 327
[1 900 900 1] 273
[1 551 551 1] 538
[1 72 72 1] 199
[1 132 132 1] 238
[1 931 931 1] 313
[1 895 895 1] 455
[1 164 164 1] 973
[1 982 982 1] 1129
[1 997 997 1] 295
[1 774 774 1] 255
[1 669 669 1] 259
[1 96 96 1] 217
[1 467 467 1] 260
[1 341 341 1] 193
[1 685 685 1] 434
[1 543 543 1] 208
[1 108 108 1] 228
[1 757 757 1] 296
[1 419 419 1] 772
[1 413 413 1] 887
[1 173 173 1] 224
[1 10 10 1] 201
[1 211 211 1] 234
[1 588 588 1] 296
[1 302 302 1] 1169
[1 373 373 1] 205
[1 256 256 1] 244
[1 600 600 1] 235
[1 905 905 1] 278
[1 812 812 1] 265
[1 668 668 1] 230
[1 229 229 1] 963
[1 151 151 1] 217
[1 659 659 1] 213
[1 225 225 1] 1139
[1 270 270 1] 220
[1 82 82 1] 248
[1 85 85 1] 684
[1 973 973 1] 320
[1 851 851 1] 257
[1 386 386 1] 261
[1 300 300 1] 783
[1 43 43 1] 618
[1 714 714 1] 317
[1 191 191 1] 369
[1 591 591 1] 248
[1 582 582 1] 510
[1 337 337 1] 806
[1 156 156 1] 205
[1 5 5 1] 222
[1 770 770 1] 253
[1 777 777 1] 306
[1 256 256 1] 221
[1 143 143 1] 176
[1 885 885 1] 1256
[1 206 206 1] 234
[1 568 568 1] 995
[1 614 614 1] 214
[1 755 755 1] 276
[1 260 260 1] 230
[1 203 203 1] 1102
[1 507 507 1] 242
[1 22 22 1] 170
[1 869 869 1] 310

Results: 100.00 461

Standard Error: 93.9057
Mean Waiting Time: 529.115
Statistics for DIFFICULTIES: 1000

----------------------------------------
Running client with DIFFICULTY: 10000
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 887 887 1] 287
[1 6916 6916 1] 1078
[1 8336 8336 1] 1707
[1 493 493 1] 681
[1 1422 1422 1] 1058
[1 28 28 1] 199
[1 60 60 1] 147
[1 3927 3927 1] 649
[1 3427 3427 1] 808
[1 5737 5737 1] 1540
[1 5369 5369 1] 1231
[1 6430 6430 1] 1797
[1 1531 1531 1] 574
[1 5124 5124 1] 758
[1 3136 3136 1] 890
[1 9803 9803 1] 1348
[1 3059 3059 1] 588
[1 8168 8168 1] 1225
[1 8457 8457 1] 1133
[1 8043 8043 1] 2674
[1 7374 7374 1] 1553
[1 4920 4920 1] 1962
[1 8538 8538 1] 1202
[1 4325 4325 1] 1832
[1 4371 4371 1] 850
[1 3527 3527 1] 737
[1 8981 8981 1] 1194
[1 1874 1874 1] 479
[1 9171 9171 1] 1778
[1 7282 7282 1] 1359
[1 926 926 1] 357
[1 6328 6328 1] 1668
[1 6506 6506 1] 932
[1 1730 1730 1] 434
[1 5858 5858 1] 853
[1 3896 3896 1] 861
[1 546 546 1] 305
[1 3368 3368 1] 1400
[1 365 365 1] 299
[1 3751 3751 1] 783
[1 6809 6809 1] 991
[1 7179 7179 1] 1058
[1 3585 3585 1] 555
[1 2652 2652 1] 487
[1 2400 2400 1] 456
[1 5061 5061 1] 1085
[1 3369 3369 1] 569
[1 13 13 1] 188
[1 8587 8587 1] 1175
[1 7540 7540 1] 1158
[1 571 571 1] 273
[1 379 379 1] 207
[1 6602 6602 1] 1546
[1 2903 2903 1] 494
[1 493 493 1] 219
[1 757 757 1] 269
[1 281 281 1] 186
[1 9442 9442 1] 1306
[1 9690 9690 1] 2537
[1 6620 6620 1] 932
[1 4730 4730 1] 1511
[1 8118 8118 1] 1146
[1 5772 5772 1] 1304
[1 676 676 1] 252
[1 8928 8928 1] 1776
[1 7857 7857 1] 1750
[1 2354 2354 1] 465
[1 6966 6966 1] 1839
[1 4684 4684 1] 2059
[1 8625 8625 1] 1136
[1 2872 2872 1] 495
[1 8830 8830 1] 1513
[1 20 20 1] 226
[1 3369 3369 1] 583
[1 6716 6716 1] 958
[1 8150 8150 1] 1120
[1 724 724 1] 493
[1 2246 2246 1] 1162
[1 3452 3452 1] 605
[1 3556 3556 1] 552
[1 7489 7489 1] 1220
[1 8229 8229 1] 1176
[1 2351 2351 1] 466
[1 1501 1501 1] 389
[1 7765 7765 1] 1095
[1 4915 4915 1] 1176
[1 5857 5857 1] 1609
[1 6492 6492 1] 3309
[1 8366 8366 1] 1170
[1 1937 1937 1] 1068
[1 2552 2552 1] 618
[1 9229 9229 1] 1712
[1 5408 5408 1] 1407
[1 6122 6122 1] 1796
[1 4396 4396 1] 704
[1 1238 1238 1] 329
[1 3794 3794 1] 927
[1 4429 4429 1] 661
[1 1012 1012 1] 3110
[1 9530 9530 1] 1383
[1 2405 2405 1] 1628
[1 5764 5764 1] 878
[1 4539 4539 1] 745
[1 6841 6841 1] 1245
[1 4819 4819 1] 764
[1 689 689 1] 210
[1 7918 7918 1] 1320
[1 6997 6997 1] 1015
[1 7744 7744 1] 1129
[1 2184 2184 1] 444
[1 5500 5500 1] 884
[1 6726 6726 1] 1519
[1 5591 5591 1] 2273
[1 8140 8140 1] 1115
[1 9787 9787 1] 2074
[1 8083 8083 1] 1159
[1 8465 8465 1] 1144
[1 9508 9508 1] 1933
[1 8805 8805 1] 2846
[1 8612 8612 1] 1230
[1 7829 7829 1] 1740
[1 7344 7344 1] 1583
[1 5569 5569 1] 826
[1 5423 5423 1] 838
[1 3811 3811 1] 608
[1 1802 1802 1] 381
[1 3731 3731 1] 848
[1 1306 1306 1] 680
[1 8737 8737 1] 2127
[1 8627 8627 1] 1305
[1 3466 3466 1] 747
[1 3417 3417 1] 577
[1 3259 3259 1] 688
[1 7638 7638 1] 1121
[1 5625 5625 1] 864
[1 4920 4920 1] 752
[1 1900 1900 1] 389
[1 5551 5551 1] 1140
[1 72 72 1] 130
[1 7132 7132 1] 1864
[1 4931 4931 1] 724
[1 5895 5895 1] 912
[1 164 164 1] 249
[1 7982 7982 1] 1109
[1 2997 2997 1] 508
[1 3774 3774 1] 839
[1 9669 9669 1] 1330
[1 1096 1096 1] 1197
[1 6467 6467 1] 1393
[1 1341 1341 1] 326
[1 7685 7685 1] 1143
[1 5543 5543 1] 802
[1 9108 9108 1] 1930
[1 9757 9757 1] 1255
[1 8419 8419 1] 1155
[1 9413 9413 1] 1341
[1 2173 2173 1] 440
[1 2010 2010 1] 388
[1 5211 5211 1] 1311
[1 7588 7588 1] 2046
[1 9302 9302 1] 1308
[1 7373 7373 1] 2421
[1 1256 1256 1] 516
[1 4600 4600 1] 689
[1 9905 9905 1] 1295
[1 9812 9812 1] 1455
[1 5668 5668 1] 1271
[1 6229 6229 1] 985
[1 9151 9151 1] 1776
[1 6659 6659 1] 993
[1 9225 9225 1] 1303
[1 7270 7270 1] 2218
[1 4082 4082 1] 1438
[1 85 85 1] 211
[1 1973 1973 1] 807
[1 3851 3851 1] 609
[1 5386 5386 1] 1261
[1 9300 9300 1] 2841
[1 6043 6043 1] 1651
[1 714 714 1] 18165
[1 6191 6191 1] 1509
[1 2591 2591 1] 529
[1 8582 8582 1] 1180
[1 9337 9337 1] 1225
[1 1156 1156 1] 335
[1 8005 8005 1] 1114
[1 4770 4770 1] 1517
[1 1777 1777 1] 451
[1 7256 7256 1] 2342
[1 8143 8143 1] 1773
[1 5885 5885 1] 1222
[1 3206 3206 1] 585
[1 9568 9568 1] 2040
[1 614 614 1] 385
[1 2755 2755 1] 479
[1 4260 4260 1] 655
[1 8203 8203 1] 1365
[1 3507 3507 1] 939
[1 2022 2022 1] 480
[1 869 869 1] 777

Results: 100.00 1162

Standard Error: 74.9911
Mean Waiting Time: 687.395
Statistics for DIFFICULTIES: 10000

----------------------------------------
Running client with DIFFICULTY: 100000
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 100000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 30887 30887 1] 5926
[1 36916 36916 1] 5927
[1 38336 38336 1] 5870
[1 60493 60493 1] 9582
[1 41422 41422 1] 5492
[1 90028 90028 1] 13264
[1 20060 20060 1] 2517
[1 13927 13927 1] 2071
[1 83427 83427 1] 17961
[1 55737 55737 1] 9023
[1 95369 95369 1] 12992
[1 56430 56430 1] 8366
[1 21531 21531 1] 3761
[1 65124 65124 1] 9693
[1 3136 3136 1] 568
[1 79803 79803 1] 13680
[1 23059 23059 1] 5615
[1 98168 98168 1] 12851
[1 18457 18457 1] 2336
[1 78043 78043 1] 9530
[1 77374 77374 1] 10568
[1 44920 44920 1] 6247
[1 98538 98538 1] 13427
[1 94325 94325 1] 13503
[1 64371 64371 1] 9480
[1 3527 3527 1] 582
[1 68981 68981 1] 9564
[1 41874 41874 1] 8392
[1 99171 99171 1] 13380
[1 97282 97282 1] 12571
[1 20926 20926 1] 2577
[1 36328 36328 1] 4890
[1 26506 26506 1] 3165
[1 21730 21730 1] 3862
[1 25858 25858 1] 5032
[1 53896 53896 1] 7994
[1 546 546 1] 248
[1 33368 33368 1] 5498
[1 90365 90365 1] 12845
[1 13751 13751 1] 1817
[1 26809 26809 1] 4617
[1 47179 47179 1] 6492
[1 93585 93585 1] 13250
[1 2652 2652 1] 512
[1 12400 12400 1] 1619
[1 95061 95061 1] 12752
[1 93369 93369 1] 12865
[1 10013 10013 1] 2058
[1 98587 98587 1] 14965
[1 97540 97540 1] 14798
[1 80571 80571 1] 11919
[1 60379 60379 1] 8592
[1 66602 66602 1] 12795
[1 12903 12903 1] 4541
[1 70493 70493 1] 10086
[1 60757 60757 1] 11280
[1 60281 60281 1] 9875
[1 9442 9442 1] 4205
[1 29690 29690 1] 5817
[1 46620 46620 1] 9679
[1 44730 44730 1] 9239
[1 8118 8118 1] 1141
[1 5772 5772 1] 1088
[1 90676 90676 1] 12770
[1 98928 98928 1] 14365
[1 77857 77857 1] 11386
[1 72354 72354 1] 9941
[1 76966 76966 1] 11213
[1 64684 64684 1] 8749
[1 28625 28625 1] 5242
[1 32872 32872 1] 4679
[1 48830 48830 1] 6267
[1 30020 30020 1] 7724
[1 63369 63369 1] 8575
[1 86716 86716 1] 17530
[1 18150 18150 1] 3489
[1 724 724 1] 317
[1 2246 2246 1] 736
[1 93452 93452 1] 12247
[1 43556 43556 1] 8035
[1 97489 97489 1] 15402
[1 88229 88229 1] 16508
[1 92351 92351 1] 12993
[1 41501 41501 1] 5128
[1 87765 87765 1] 11851
[1 24915 24915 1] 5427
[1 75857 75857 1] 15885
[1 46492 46492 1] 6808
[1 48366 48366 1] 7255
