Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 627 627 1] 311
[1 466 466 1] 394
[1 417 417 1] 273
[1 259 259 1] 318
[1 638 638 1] 708
[1 625 625 1] 237
[1 920 920 1] 266
[1 900 900 1] 327
[1 551 551 1] 283
[1 72 72 1] 204
[1 132 132 1] 186
[1 931 931 1] 287
[1 895 895 1] 289
[1 164 164 1] 869
[1 982 982 1] 277
[1 997 997 1] 480
[1 774 774 1] 303
[1 669 669 1] 277
[1 96 96 1] 232
[1 467 467 1] 275
[1 341 341 1] 214
[1 685 685 1] 273
[1 543 543 1] 1052
[1 108 108 1] 242
[1 757 757 1] 297
[1 419 419 1] 301
[1 413 413 1] 242
[1 173 173 1] 216
[1 10 10 1] 196
[1 211 211 1] 244
[1 588 588 1] 857
[1 302 302 1] 200
[1 373 373 1] 258
[1 256 256 1] 222
[1 600 600 1] 324
[1 905 905 1] 303
[1 812 812 1] 301
[1 668 668 1] 258
[1 229 229 1] 429
[1 151 151 1] 183
[1 659 659 1] 301
[1 225 225 1] 230
[1 270 270 1] 213
[1 82 82 1] 202
[1 85 85 1] 254
[1 973 973 1] 341
[1 851 851 1] 338
[1 386 386 1] 245
[1 300 300 1] 190
[1 43 43 1] 220
[1 714 714 1] 244
[1 191 191 1] 196
[1 591 591 1] 242
[1 582 582 1] 272
[1 337 337 1] 206
[1 156 156 1] 184
[1 5 5 1] 152
[1 770 770 1] 962
[1 777 777 1] 277
[1 256 256 1] 232
[1 143 143 1] 189
[1 885 885 1] 278
[1 206 206 1] 245
[1 568 568 1] 339
[1 614 614 1] 310
[1 755 755 1] 1031
[1 260 260 1] 214
[1 203 203 1] 278
[1 507 507 1] 228
[1 22 22 1] 177
[1 869 869 1] 309

Results: 100.00 340

Standard Error: 15.4693
Mean Waiting Time: 342.567
Statistics for DIFFICULTIES: 1000

----------------------------------------
Running client with DIFFICULTY: 10000
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

